马利和我 Marley & Me,,大卫·弗兰科尔,,斯科特·弗兰克,,欧文·威尔逊,,詹妮弗·安妮斯顿,,埃里克·迪恩,"['剧情', '喜剧', '爱情']",115 分钟,2008,美国, 英语,7.9
我要复仇 복수는 나의 것,,朴赞郁,,朴赞郁,,宋康昊,,申河均,,裴斗娜,"['剧情', '惊悚', '犯罪']",129 分钟,2002,韩国, 韩国手语 / 韩语,7.9
梁祝,,徐克,,许莎朗,,吴奇隆,,杨采妮,,徐锦江,"['剧情', '爱情', '奇幻']",107 分钟,1994,香港, 粤语,7.9
杯酒人生 Sideways,,亚历山大·佩恩,,亚历山大·佩恩,,保罗·吉亚玛提,,托马斯·哈登·丘奇,,维吉妮娅·马德森,"['剧情', '喜剧', '爱情']",126分钟,2004,美国 / 匈牙利, 英语 / 亚美尼亚语,7.9
法官老爹 The Judge,,大卫·道金,,尼克·申克,,小罗伯特·唐尼,,罗伯特·杜瓦尔,,维拉·法米加,['剧情'],141分钟,2014,美国, 英语,7.9
突袭2：暴徒 The Raid 2: Berandal,,加雷斯·埃文斯,,加雷斯·埃文斯,,伊科·乌艾斯,,朱莉·埃斯特尔,,雅彦·鲁伊安,"['剧情', '动作', '犯罪']",150分钟,2014,印度尼西亚 / 美国, 印度尼西亚语 / 日语 / 英语 / 阿拉伯语,7.9
每当变幻时,,罗永昌,,冯志强,,杨千嬅,,陈奕迅,,黄渤,"['剧情', '喜剧', '爱情']",97分钟,2007,中国大陆 / 香港, 粤语,7.9
菊豆,,张艺谋,,刘恒,,巩俐,,李保田,,李纬,['剧情'],95 分钟,1990,中国大陆 / 日本, 汉语普通话,7.9
弗兰克 Frank,,伦尼·阿伯拉罕森,,乔恩·容森,,多姆纳尔·格里森,,迈克尔·法斯宾德,,玛吉·吉伦哈尔,"['剧情', '喜剧', '音乐']",95分钟,2014,英国 / 爱尔兰 / 美国, 英语 / 法语 / 德语,7.9
美国黑帮 American Gangster,,雷德利·斯科特,,斯蒂文·泽里安,,丹泽尔·华盛顿,,罗素·克劳,,切瓦特·埃加福特,"['剧情', '犯罪']",157 分钟,2007,美国, 英语,7.9
潜水钟与蝴蝶 Le scaphandre et le papillon,,朱利安·施纳贝尔,,罗纳德·哈伍德,,马修·阿马立克,,艾玛纽尔·塞尼耶,,玛丽-乔西·克罗兹,"['剧情', '传记']",112 分钟,2007,法国 / 美国, 法语,7.9
巴尔扎克与小裁缝,,戴思杰,,戴思杰,,周迅,,刘烨,,陈坤,"['剧情', '爱情', '传记']",110 分钟,2002,中国大陆 / 法国, 中文 / 法语,7.9
斗士 The Fighter,,大卫·O·拉塞尔,,斯科特·西尔弗,,马克·沃尔伯格,,克里斯蒂安·贝尔,,艾米·亚当斯,"['剧情', '家庭', '传记', '运动']",115分钟,2010,美国, 英语,7.9
可爱的你 五個小孩的校長,,关信辉,,关信辉,,杨千嬅,,古天乐,,王诗雅,['剧情'],113分钟,2015,香港 / 中国大陆, 汉语普通话 / 粤语,7.9
听说桐岛要退部 桐島、部活やめるってよ,,吉田大八,,喜安浩平,,神木隆之介,,桥本爱,,大后寿寿花,['剧情'],103分钟,2012,日本, 日语,7.9
精英部队 Tropa de Elite,,何塞·帕迪里亚,,布罗里欧·曼托伐尼,,瓦格纳·马拉,,卡约·胡恩奎拉,,安德烈·拉米罗,"['剧情', '动作', '惊悚', '犯罪']",115 分钟,2007,巴西 / 美国 / 阿根廷, 葡萄牙语,7.9
神奇队长 Captain Fantastic,,马特·罗斯,,马特·罗斯,,维果·莫腾森,,乔治·麦凯,,萨曼莎·伊斯莱尔,"['剧情', '喜剧', '家庭']",118分钟,2016,美国, 英语 / 世界语 / 汉语普通话,7.9
十诫 The Ten Commandments,,塞西尔·B·戴米尔,,Æneas MacKenzie,,查尔登·海斯顿,,尤·伯连纳,,安妮·巴克斯特,"['剧情', '历史', '冒险']",220分钟,1956,美国, 英语,8.2
胜利之光 Friday Night Lights,,彼得·博格,,Buzz Bissinger,,比利·鲍伯·松顿,,卢卡斯·布莱克,,加内特·赫德兰,"['剧情', '动作', '运动']",118 分钟,2004,美国, 英语,8.2
再过四年 Fyra år till,,Tova Magnusson-Norling,,Wilhelm Behrman,,伯恩·谢尔曼,,Eric Ericson,,亞當·隆格倫 Adam Lundgren,"['剧情', '同性']",87分钟,2010,瑞典, 瑞典语,8.2
捕鼠者 Ratcatcher,,琳恩·拉姆塞,,琳恩·拉姆塞,,汤米·弗拉纳根,,Mandy Matthews,,William Eadie,['剧情'],94 分钟,1999,英国 / 法国, 英语,8.2
