,a,c,e,g,i,k,l,m,n,o,p,q
138,鼠来宝4：萌在囧途 Alvin and the Chipmunks: The Road Chip,沃尔特·拜克,罗斯·巴格达萨里安,贾斯汀·朗,马修·格雷·古柏勒,杰西·麦卡尼,"['喜剧', '动画', '音乐', '奇幻', '冒险']",92分钟,2015,美国, 英语,6.8
139,摇滚藏獒,艾什·布兰农,郑钧,郭麒麟,路知行,郭德纲,"['动画', '音乐']",93分钟,2016,中国大陆 / 美国 / 香港, 英语,6.8
140,舞力对决 StreetDance 3D,马科斯·吉瓦,简·英格丽史,乔治·山普森,夏洛特·兰普林,多样化街舞组合 Diversity,"['爱情', '音乐', '歌舞']",98分钟(英国),2010,英国, 英语,6.8
141,忘掉莎拉·马歇尔 Forgetting Sarah Marshall,尼古拉斯·斯托勒,杰森·席格尔,杰森·席格尔,克里斯汀·贝尔,米拉·库尼斯,"['剧情', '喜剧', '爱情', '音乐']",111 分钟,2008,美国, 英语 / 夏威夷语,6.5
142,万圣年代 Ten Thousand Saints,莎里·斯宾厄·伯曼,莎里·斯宾厄·伯曼,海莉·斯坦菲尔德,阿萨·巴特菲尔德,伊桑·霍克,"['剧情', '喜剧', '音乐']",113分钟,2015,美国, 英语,6.5
143,我们是你的朋友 We Are Your Friends,麦克斯·约瑟夫,麦克斯·约瑟夫,扎克·埃夫隆,艾米丽·拉塔科斯基,希罗·弗南德兹,"['剧情', '爱情', '音乐']",96分钟,2015,英国 / 法国 / 美国, 英语,6.5
144,摇滚学徒 Rock'n Roll,吉约姆·卡内,吉约姆·卡内,吉约姆·卡内,玛丽昂·歌迪亚,菲利普·莱夫布瓦尔,"['剧情', '喜剧', '音乐']",123分钟,2017,法国, 法语,6.5
145,起势摇滚 起勢搖滾,李志倫,李志倫,Mr.樂隊,卫诗雅,何佩瑜,"['剧情', '音乐']",92分钟(香港),2012,香港, 粤语,6.5
146,蓝调女王 Bessie,迪·里斯,查尔斯·克利夫兰,迈克尔·肯尼斯·威廉姆斯,提卡·森普特,奎恩·拉提法,"['剧情', '音乐', '传记']",112分钟,2015,美国, 英语,6.5
147,摇滚青年,田壮壮,刘毅然,陶金,马羚,史可,"['剧情', '音乐']",85分钟,1988,中国大陆, 汉语普通话,6.5
148,保镖 Bodyguard,Siddique,Atul Agnihotri,萨尔曼·汗,卡琳娜·卡普尔,Mahesh Manjrekar,"['剧情', '喜剧', '爱情', '音乐', '歌舞']",131分钟,2011,印度 India, 印地语 Hindi,6.5
149,心跳砰砰响 Hearts Beat Loud,布雷特·海利,布雷特·海利,尼克·奥弗曼,科雷西·克莱门斯,布莱思·丹纳,"['剧情', '喜剧', '音乐']",97分钟,2018,美国, 英语,6.5
150,无聊现代生活 Modern Life Is Rubbish,丹尼尔·杰罗姆·吉尔,菲利普·加索恩,弗雷娅·梅弗,乔什·怀特豪斯,汤姆·莱利,"['喜剧', '爱情', '音乐']",105分钟,2017,英国, 英语,6.5
151,舞力对决2 StreetDance 2,Max Giwa,Jane English,汤姆·康蒂,乔治·山普森,Falk Hentschel,"['剧情', '爱情', '音乐']",85分钟,2012,英国, 英语,6.4
152,美国梦 American Dreamz,克里斯·韦兹,克里斯·韦兹,休·格兰特,丹尼斯·奎德,曼迪·摩尔,"['喜剧', '音乐']",107 分钟,2006,美国, 英语,6.4
153,乐队,彭磊,彭磊,赵怡文,江雨晨,中野阳,"['剧情', '音乐']",90分钟,2012,中国大陆, 汉语普通话,6.4
154,冈拉梅朵,戴玮,扎西达娃,姜世贞,仁青顿珠,郑昊,"['剧情', '爱情', '音乐']",93分钟,2008,中国大陆, 汉语普通话 / 藏语,6.4
