拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
新大头儿子和小头爸爸3：俄罗斯奇遇记,,何澄,,吴楠,,刘纯燕,,董浩,,鞠萍,"['动画', '家庭', '儿童', '冒险']",80分钟,2018,中国大陆, 汉语普通话,4.8
赛尔号大电影3之战神联盟,,王章俊,,王章俊,,杨欧,,张安琪,,樊俊航,"['动画', '儿童', '冒险']",103分钟,2013,中国大陆, 汉语普通话,4.8
冰雪女王3：火与冰 Снежная королева 3: Огонь и лед,,阿列克谢·特斯蒂斯林,,安德烈·科林考夫,,迪·布拉雷·贝克尔,,洛瑞·加纳,,Devin Bailey Griffin,"['动画', '家庭', '冒险']",89分钟,2016,俄罗斯 / 中国大陆, 英语,4.8
赛尔号大电影6：圣者无敌,,王章俊,,王章俊,,罗玉婷,,翟巍,,王晓彤,"['动画', '儿童', '奇幻', '冒险']",98分钟,2017,中国大陆, 汉语普通话,4.8
冰雪女皇之冬日魔咒 Снежная королева 2: Перезаморозка,,阿列克谢·特斯蒂斯林,,弗拉迪米尔·尼古拉耶夫,,伊莎贝拉·弗尔曼,,沙尔托·科普雷,,肖恩·宾,"['动画', '家庭']",85分钟,2014,俄罗斯, 英语 / 俄语,4.8
洛克王国4：出发！巨人谷,,乌格斯·马特尔,,邵伟,,张琦,,胡夏,,林颖,"['动画', '奇幻', '冒险']",83分钟,2015,中国大陆, 汉语普通话,4.8
喜羊羊与灰太狼之飞马奇遇记,,简耀宗,,王舒,,祖晴,,张琳,,白百何,"['喜剧', '动画', '家庭', '奇幻', '冒险']",83分钟,2014,中国大陆, 汉语普通话 / 粤语,4.7
魔比斯环 Thru the Moebius Strip,,格兰·枈卡,,吉姆·考克斯,,乔纳森·泰勒·托马斯,,克里斯·马奎特,,马克·哈米尔,"['科幻', '动画', '冒险']",89分钟,2005,中国大陆 / 美国, 英语,4.7
梦回金沙城,,陈德明,,苏晓虹,,詹佳,,沈达威,,程玉珠,"['剧情', '动画', '奇幻']",85分钟,2010,中国大陆, 汉语普通话,4.7
小猫巴克里 小貓巴克里,,邱立伟,,邱立伟,,林佑俽,,郭馨雅,,屈中恒,"['动画', '奇幻', '冒险']",86分钟,2017,台湾, 汉语普通话,4.6
咕噜咕噜美人鱼,,杨广福,,萧荣,,张美娟,,赵梦娇,,陈大刚,"['喜剧', '动画', '冒险']",90分钟,2015,中国大陆, 汉语普通话,4.5
大卫贝肯之倒霉特工熊,,李清舫,,汤水雨,,汤水雨,,徐佳琦,,杨默,"['喜剧', '动画', '家庭', '冒险']",90分钟,2017,中国大陆, 汉语普通话,4.4
新大头儿子和小头爸爸之秘密计划,,何澄,,于洪洋,,刘纯燕,,董浩,,鞠萍,"['动画', '家庭', '儿童']",80分钟,2014,中国大陆, 汉语普通话,4.4
魔幻仙踪,,吴建荣,,于洪洋,,伊一,,葛钰莹,,杨莹,"['动画', '奇幻', '冒险']",90分钟,2014,中国大陆, 汉语普通话,4.4
我的老婆是只猫,,黄军,,黄军,,潘粤明,,周艳泓,,类型:,"['爱情', '动画', '冒险']",94分钟,2013,中国大陆, 汉语普通话,4.4
新大头儿子和小头爸爸2一日成才,,何澄,,吴楠,,刘纯燕,,董浩,,鞠萍,"['喜剧', '动画', '家庭']",85分钟,2016,中国大陆, 汉语普通话,4.3
赛尔号大电影2之雷伊与迈尔斯,,王章俊,,田思源,,武艺,,类型:,,动画,"['动画', '奇幻', '冒险']",90分钟,2012,中国大陆, 汉语普通话,4.3
龙骑侠,,刘可欣,,刘可欣,,唐小喜,,张雪凌,,路知行,"['动画', '奇幻', '冒险']",90分钟,2015,中国大陆, 汉语普通话,4.3
"蝙蝠侠：黑暗骑士归来(下) Batman: The Dark Knight Returns, Part 2",,杰伊·欧力瓦,,鲍勃·古德曼,,彼得·威勒,,阿芮尔·温特,,迈克尔·爱默生,"['动作', '动画']",76分钟,2013,美国, 英语,8.8
攻壳机动队SSS 攻殻機動隊 STAND ALONE COMPLEX Solid State Society,,神山健治,,神山健治,,田中敦子,,大塚明夫,,阪脩,"['动作', '科幻', '动画']",108分钟,2006,日本, 日语,8.8
黄色潜水艇 Yellow Submarine,,乔治·杜宁,,Lee Minoff,,The Beatles,,保罗·安吉利斯,,约翰·克莱夫,"['喜剧', '动画', '音乐', '奇幻', '冒险']",90分钟,1968,英国 / 美国, 英语,8.8
魔法阿妈 魔法阿嬷,,王小棣,,黄黎明,,文英,,许杰辉,,莊博文,"['喜剧', '动画', '奇幻']",80分钟,1998,台湾, 汉语普通话,8.8
天鹅湖 白鳥の湖,,野田卓雄,,布勢博一,,竹下景子,,志垣太郎,,小池朝雄,"['爱情', '动画', '奇幻']",75分钟,1981,日本, 日语,8.8
小羊肖恩：美好时光 Shaun The Sheep: A Woolly Good Time,,克里斯托弗·萨德勒,,理查德·斯塔扎克,,贾斯汀·弗莱彻,,约翰·斯帕克斯,,理查德·韦伯,"['喜剧', '动画']",45分钟,2010,英国, 无对白,8.8
贤治之春 イーハトーブ幻想〜KENjIの春,,河森正治,,河森正治,,佐野史郎,,国府田真里子,,磯部弘,"['剧情', '动画', '传记']",57分钟,1996,日本, 日语,8.8
苍穹之法芙娜：逝者的权利 蒼穹のファフナー Right of Left,,羽原信义,,冲方丁,,宫野真守,,甲斐田裕子,,木村亜希子,['动画'],55分钟,2005,日本, 日语,8.8
疯狂原始人 The Croods,,柯克·德·米科,,克里斯·桑德斯,,尼古拉斯·凯奇,,艾玛·斯通,,瑞恩·雷诺兹,"['喜剧', '动画', '冒险']",98分钟,2013,美国, 英语,8.7
驯龙高手 How to Train Your Dragon,,迪恩·德布洛斯,,威廉姆·戴维斯,,杰伊·巴鲁切尔,,杰拉德·巴特勒,,克雷格·费格森,"['动画', '奇幻', '冒险']",98分钟,2010,美国, 英语,8.7
头脑特工队 Inside Out,,彼特·道格特,,彼特·道格特,,艾米·波勒,,菲利丝·史密斯,,理查德·坎德,"['喜剧', '动画', '冒险']",95分钟,2015,美国, 英语,8.7
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,,鲍勃·佩尔西凯蒂,,菲尔·罗德,,沙梅克·摩尔,,杰克·约翰逊,,海莉·斯坦菲尔德,"['动作', '科幻', '动画', '冒险']",116分钟(中国大陆),2018,美国, 英语 / 西班牙语,8.7
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,,米林宏昌,,宫崎骏,,志田未来,,神木隆之介,,树木希林,"['动画', '奇幻', '冒险']",94分钟,2010,日本, 日语,8.7
无敌破坏王 Wreck-It Ralph,,瑞奇·摩尔,,菲尔·约翰斯顿,,约翰·C·赖利,,萨拉·西尔弗曼,,杰克·麦克布瑞尔,"['喜剧', '动画', '奇幻', '冒险']",101分钟,2012,美国, 英语,8.7
阿基拉 Akira,,大友克洋,,大友克洋,,岩田光央,,佐佐木望,,小山茉美,"['动作', '科幻', '动画']",124 分钟,1988,日本, 日语,8.4
小鹿斑比 Bambi,,戴维·汉德,,费利克斯·扎尔滕,,哈迪·奥尔布赖特,,Stan Alexander,,Bobette Audrey,"['剧情', '动画']",70分钟,1942,美国, 英语,8.4
西葫芦的生活 Ma vie de courgette,,克洛德·巴拉斯,,吉勒斯·帕瑞斯,,加斯帕德·施拉特,,西斯汀·穆拉特,,波林·雅库,"['剧情', '动画', '儿童']",66分钟,2016,瑞士 / 法国, 法语,8.4
小姐与流浪汉 Lady and the Tramp,,克莱德·杰洛尼米,,沃德·格林,,芭芭拉·卢迪,,拉里·罗伯茨,,派姬·李,"['喜剧', '爱情', '动画', '冒险']",76分钟,1955,美国, 英语,8.4
画之国 Le tableau,,让-弗朗索瓦·拉吉奥,,让-弗朗索瓦·拉吉奥,,让-弗朗索瓦·拉吉奥,,JB·布兰科,,史蒂夫·布卢姆,"['动画', '奇幻']",80分钟,2011,法国, 法语,8.4
红线 Redline,,小池健,,石井克人,,木村拓哉,,苍井优,,浅野忠信,"['动作', '科幻', '动画']",102分钟,2010,日本, 日语,8.4
爱丽丝 Neco z Alenky,,杨·史云梅耶,,路易斯·卡罗尔,,克里斯蒂娜·科荷多娃,,类型:,,动画,"['动画', '奇幻', '冒险']",86 分钟,1988,捷克斯洛伐克 / 瑞士 / 英国 / 西德, 捷克语,8.4
想做熊的孩子 Drengen der ville gøre det umulige,,贾尼克·哈斯楚,,Bent Haller,,西瑟·巴比特·科努德森,,利斯贝特·达尔,,Malene Vilstrup,"['剧情', '动画']",75分钟,2002,丹麦 / 法国, 丹麦语 / 瑞典语,8.4
当风吹起的时候 When the Wind Blows,,吉米·村上,,雷蒙德·布里格斯,,佩吉·阿什克罗福特,,约翰·米尔斯,,温斯顿·丘吉尔,"['剧情', '动画', '战争']",84分钟,1986,英国, 英语,8.4
如此美好的一天 It's Such a Beautiful Day,,唐·赫兹菲尔德,,唐·赫兹菲尔德,,唐·赫兹菲尔德,,类型:,,剧情,"['剧情', '喜剧', '科幻', '动画', '奇幻']",62分钟,2012,美国, 英语,8.4
青空夏季篇 前篇：山路 AIR in Summer 前編 やまみち,,石原立也,,志茂文彦,,小野大辅,,川上伦子,,久川绫,"['爱情', '动画']",24分钟,2005,日本, 日语,8.4
星际5555：异星梦系统秘传 Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,,竹之内和久,,Cédric Hervet,,蠢朋克,,类型:,,动作,"['动作', '科幻', '动画', '音乐', '奇幻', '冒险']",68 分钟,2003,日本 / 法国, 英语,8.4
幸运卢克之雏菊镇 Daisy Town,,勒内·戈西尼,,Alain De Lannoy,,马塞尔·博祖菲,,Pierre Trabaud,,雅克·巴吕坦,"['喜剧', '动画', '西部']",71 分钟,1971,法国 / 比利时, 法语,8.4
DC展台原创动画短篇 DC Showcase Original Shorts Collection,,乔伊姆·多斯·桑托斯,,Michael Jelenic,,杰夫·贝内特,,史蒂夫·布卢姆,,扎克·卡利森,"['动作', '动画', '奇幻', '冒险']",63分钟,2010,美国, 英语,8.4
森林大帝 ジャングル大帝,,竹内启雄,,手冢治虫,,津嘉山正种,,柊美冬,,富田耕生,['动画'],100 分钟,1997,日本, 日语,8.4
穿长靴的猫 長靴をはいた猫,,矢吹公郎,,夏尔·佩罗,,石川进,,藤田淑子,,榊原留美,"['喜剧', '爱情', '动画', '家庭', '奇幻', '冒险']",USA: 80 分钟,1969,日本, 日语,8.2
怪兽大学 Monsters University,,丹·斯坎隆,,罗伯特·L·贝尔德,,比利·克里斯托,,约翰·古德曼,,史蒂夫·布西密,"['喜剧', '动画', '冒险']",104分钟,2013,美国, 英语,8.1
无敌破坏王2：大闹互联网 Ralph Breaks the Internet,,菲尔·约翰斯顿,,菲尔·约翰斯顿,,约翰·C·赖利,,萨拉·西尔弗曼,,盖尔·加朵,"['喜剧', '动画', '奇幻', '冒险']",112分钟,2018,美国, 英语,8.1
小王子 Le Petit Prince,,马克·奥斯本,,伊连娜·布里纳尔,,杰夫·布里吉斯,,麦肯吉·弗依,,瑞秋·麦克亚当斯,"['动画', '奇幻']",108分钟,2015,法国, 英语 / 法语,8.1
欢乐好声音 Sing,,加斯·詹宁斯,,加斯·詹宁斯,,马修·麦康纳,,瑞茜·威瑟斯彭,,塞思·麦克法兰,"['喜剧', '动画', '歌舞']",108分钟,2016,美国, 英语 / 日语,8.1
冰川时代2：融冰之灾 Ice Age: The Meltdown,,卡洛斯·沙尔丹哈,,彼得·高尔克,,雷·罗马诺,,约翰·雷吉扎莫,,丹尼斯·利瑞,"['喜剧', '动画', '冒险']",91 分钟,2006,美国, 英语,8.1
帕丁顿熊2 Paddington 2,,保罗·金,,保罗·金,,本·卫肖,,休·格兰特,,休·博纳维尔,"['喜剧', '动画', '家庭']",103分钟,2017,英国 / 法国 / 美国, 英语,8.1
鬼妈妈 Coraline,,亨利·塞利克,,亨利·塞利克,,达科塔·范宁,,泰瑞·海切尔,,珍妮弗·桑德斯,"['动画', '奇幻', '冒险']",96分钟(英国),2009,美国, 英语 / 俄语,8.1
守护者联盟 Rise of the Guardians,,彼得·拉姆齐,,大卫·林赛-阿贝尔,,克里斯·派恩,,休·杰克曼,,艾拉·菲舍尔,"['动画', '家庭', '奇幻', '冒险']",97分钟,2012,美国, 英语,8.1
阿拉丁 Aladdin,,罗恩·克莱蒙兹,,罗恩·克莱蒙兹,,斯科特·维内尔,,罗宾·威廉姆斯,,琳达·拉金,"['喜剧', '动画', '冒险']",90 分钟,1992,美国, 英语,8.1
星际宝贝 Lilo & Stitch,,克里斯·桑德斯,,克里斯·桑德斯,,黛维·切斯,,克里斯·桑德斯,,蒂亚·卡雷尔,"['喜剧', '科幻', '动画', '家庭', '冒险']",85分钟,2002,美国, 英语 / Hawaiian,8.1
人参果,,严定宪,,李克弱,,尚华,,杨文远,,陈燕华,"['动画', '奇幻', '冒险']",45分钟,1981,中国大陆, 普通话,8.1
我嫁了个怪蜀黍！ I Married a Strange Person!,,比尔·普莱姆顿,,比尔·普莱姆顿,,哈里斯·米切尔森,,Tom Larson,,Richard Spore,"['喜剧', '动画', '情色', '奇幻']",USA: 73 分钟(R-rated version),1997,美国, 英语,8.1
蝙蝠侠：元年 Batman: Year One,,刘山姆,,鲍勃·凯恩,,Ben McKenzie,,Bryan Cranston,,Eliza Dushku,"['剧情', '动作', '动画', '犯罪']",64分钟,2011,美国, 英语,8.1
迷宫物语 迷宮物語,,川尻善昭,,川尻善昭,,吉田日出子,,水岛裕,,大竹宏,"['科幻', '动画', '恐怖', '奇幻', '冒险']",Spain: 49 分钟,1987,日本, 日语,8.1
青蛙的预言 La prophétie des grenouilles,,雅克-雷米·杰瑞德,,Antoine Lanciaux,,米歇尔·皮科利,,阿诺克·格林布戈,,安妮·吉拉尔多,"['动画', '家庭']",France: 90 分钟,2003,法国, 法语,8.1
德黑兰禁忌 Tehran Taboo,,阿里·苏赞德,,格里特·基恩斯伦,,法拉德·阿巴丁尼贾德,,贾斯米娜·阿里,,罗齐塔·阿萨多拉希,"['剧情', '动画']",96分钟,2017,德国 / 奥地利, 波斯语,8.1
马达加斯加企鹅：行动 The Penguins of Madagascar: Operation,,Nicholas Filippi,,Todd Garfield,,Tom McGrath,,Jeff Bennett,,John Di Maggio,"['喜剧', '动画', '冒险']",117分钟,2010,美国, 英语,8.1
阿祖尔和阿斯马尔 Azur et Asmar,,米歇尔·欧斯洛,,米歇尔·欧斯洛,,Cyril Mourali,,Karim M'Riba,,西娅姆·阿巴斯,"['动画', '家庭', '奇幻', '冒险']",99 分钟,2006,法国 / 比利时 / 西班牙 / 意大利, 阿拉伯语 / 法语,8.1
终极细胞战 Osmosis Jones,,博比·法雷里,,马克·海曼,,克里斯·洛克,,劳伦斯·菲什伯恩,,比尔·默瑞,"['喜剧', '动作', '动画', '惊悚', '犯罪', '奇幻', '冒险']",95 分钟,2001,美国, 英语,7.9
最游记：给落选者的镇魂歌 幻想魔伝最遊記Requiem選ばれざるものへの鎮魂歌,,伊达勇登,,峰仓和也,,关俊彦,,保志总一朗,,石田彰,['动画'],120分钟,2001,日本, 日语,7.9
小叮当：羽翼之谜 Secret of the Wings,,罗伯茨·甘纳韦,,罗伯茨·甘纳韦,,梅·惠特曼,,露西·海尔,,提摩西·道尔顿,"['喜剧', '动画', '奇幻', '冒险']",75分钟,2012,美国, 英语,7.9
小叮当：永无兽传奇 Tinker Bell and the Legend of the NeverBeast,,史蒂夫·伦特,,汤姆·罗杰斯,,金妮弗·古德温,,梅·惠特曼,,罗莎里奥·道森,"['动画', '奇幻', '冒险', '灾难']",76分钟,2014,美国, 英语,7.9
"克里蒂，童话的小屋 Kerity, la maison des contes",,多米尼克·蒙法尼,,Anik Leray,,让娜·莫罗,,朱莉·加耶,,Liliane Rovère,"['动画', '儿童', '冒险']",74分钟,2009,法国, 法语,7.9
爱心熊宝宝：新一代 Care Bears Movie II: A New Generation,,Dale Schott,,Peter Sauder,,Hadley Kay,,Chris Wiggins,,Cree Summer,"['动画', '家庭', '奇幻']",76 分钟,1986,加拿大 / 美国, 英语,7.9
美女与野兽之贝儿的心愿 Beauty and the Beast: The Enchanted Christmas,,Andrew Knight,,弗利普·科布勒,,佩吉·奥哈拉,,罗比·本森,,杰里·奥尔巴赫,"['动画', '音乐', '家庭']",72分钟,1997,加拿大 / 美国, 英语,7.9
先知 The Prophet,,罗杰·阿勒斯,,罗杰·阿勒斯,,约翰·卡拉辛斯基,,连姆·尼森,,萨尔玛·海耶克,['动画'],84分钟,2014,美国 / 加拿大 / 黎巴嫩 / 卡塔尔, 英语,7.9
川之光 川の光,,平川哲生,,吉岡たかを,,折笠富美子,,金田朋子,,山寺宏一,['动画'],75分钟,2009,日本, 日语,7.9
金花鼠：遇见狼人 Alvin and the Chipmunks Meet the Wolfman,,Kathi Castillo,,小罗斯·巴达塞里安,,小罗斯·巴达塞里安,,珍妮丝·卡门,,伊丽莎白·戴利,"['喜剧', '动画', '恐怖', '歌舞', '家庭', '奇幻']",77分钟,2000,美国, 英语,7.9
一千零一夜 千夜一夜物語,,山本映一,,手冢治虫,,芥川比吕志 Hiroshi Akutagawa,,青岛幸男,,远藤周作,['动画'],128 分钟,1969,日本, 日语,7.9
自深渊中 De profundis,,梅柯兰多·普拉多,,梅柯兰多·普拉多,,N/A,,类型:,,动画,"['动画', '音乐']",76分钟,2007,西班牙 / 葡萄牙, None,7.9
猫和老鼠-海盗寻宝 Tom and Jerry: Shiver Me Whiskers,,Scott Jeralds,,Christopher Painter,,马克·哈米尔,,凯茜·纳基麦,,查尔斯·纳尔逊·赖利,"['喜剧', '动画', '家庭']",USA: 74 分钟,2006,美国, 英语,7.9
小飞侠2：梦不落帝国 Return to Never Land,,罗宾·巴德,,坦普尔·马休斯,,哈丽特·欧文,,布赖恩·韦弗,,科里·伯顿,"['动画', '奇幻', '冒险']",72分钟,2002,美国 / 加拿大 / 澳大利亚, 英语,7.7
"小鱼历险记 Hjælp, jeg er en fisk",,施蒂芬·费德马克,,施蒂芬·费德马克,,Nis Bank-Mikkelsen,,艾伦·瑞克曼,,特瑞·琼斯,"['剧情', '喜剧', '科幻', '动画', '家庭', '奇幻', '冒险']",80 分钟,2000,德国 / 爱尔兰 / 丹麦, 英语 / 丹麦语,7.7
阿拉丁神灯 Arabian Nights,,斯蒂夫·巴伦,,约翰.雷吉扎莫,,约翰.雷吉扎莫,,米丽.艾威塔,,艾伦.贝茨,"['剧情', '动画']",175分钟,2002,美国, 英语,7.7
天鹅公主 The Swan Princess,,Richard Rich,,Brian Nissen (II),,杰克·帕兰斯,,霍华德·麦克格林,,类型:,"['爱情', '动画', '家庭', '奇幻']",Argentina: 90 分钟,1994,美国, 英语,7.7
爱宠大机密 The Secret Life of Pets,,克里斯·雷纳德,,辛科·保罗,,路易·C·K,,艾瑞克·斯通斯崔特,,凯文·哈特,"['喜剧', '动画']",87分钟,2016,美国, 英语,7.6
丁丁历险记 The Adventures of Tintin: The Secret of the Unicorn,,史蒂文·斯皮尔伯格,,史蒂文·莫法特,,杰米·贝尔,,安迪·瑟金斯,,丹尼尔·克雷格,"['动作', '动画', '悬疑', '冒险']",107分钟,2011,美国 / 新西兰, 英语,7.6
穿靴子的猫 Puss in Boots,,克里斯·米勒,,布莱恩·林奇,,安东尼奥·班德拉斯,,萨尔玛·海耶克,,扎克·加利凡纳基斯,"['喜剧', '动画', '奇幻', '冒险']",90 分钟,2011,美国, 英语,7.6
里约大冒险2 Rio 2,,卡洛斯·沙尔丹哈,,唐·莱默,,安妮·海瑟薇,,杰西·艾森伯格,,布鲁诺·马尔斯,"['喜剧', '动画', '冒险']",101分钟,2014,美国, 英语 / 葡萄牙语,7.6
精灵旅社2 Hotel Transylvania 2,,格恩迪·塔塔科夫斯基,,罗伯特·斯密戈尔,,亚当·桑德勒,,安迪·萨姆伯格,,赛琳娜·戈麦斯,"['喜剧', '动画', '奇幻']",89分钟,2015,美国, 英语,7.6
怪物史瑞克2 Shrek 2,,安德鲁·亚当森,,安德鲁·亚当森,,麦克·梅尔斯,,艾迪·墨菲,,卡梅隆·迪亚兹,"['喜剧', '动画', '家庭', '奇幻', '冒险']",93 分钟,2004,美国, 英语,7.6
泰山 Tarzan,,Chris Buck,,Tab Murphy,,托尼·戈德温,,明妮·德里弗,,格伦·克洛斯,"['剧情', '动画', '家庭', '冒险']",88 分钟,1999,美国, 英语,7.6
赛车总动员2 Cars 2,,约翰·拉塞特,,约翰·拉塞特,,欧文·威尔逊,,王牌接线员拉里,,迈克尔·凯恩,"['喜剧', '动画', '冒险']",106分钟,2011,美国, 英语 / 日语 / 意大利语 / 法语,7.6
极地特快 The Polar Express,,罗伯特·泽米吉斯,,罗伯特·泽米吉斯,,汤姆·汉克斯,,埃迪·狄森,,诺娜·加耶,"['动画', '家庭', '奇幻', '冒险']",100分钟,2004,美国, 英语,7.6
生化危机：诅咒 バイオハザード ダムネーション,,神谷诚,,菅正太郎,,马修·默瑟,,戴夫·维滕博格,,柯特奈·泰勒,"['动作', '科幻', '动画', '惊悚', '恐怖']",100分钟,2012,日本, 日语,7.6
怪兽在巴黎 Un monstre à Paris,,毕鲍·鲍格朗,,毕鲍·鲍格朗,,丹尼·赫斯顿,,凯瑟琳·欧哈拉,,亚当·戈德堡,"['喜剧', '动画', '音乐', '奇幻', '冒险']",90分钟,2011,法国, 法语,7.6
谁陷害了兔子罗杰 Who Framed Roger Rabbit,,罗伯特·泽米吉斯,,Jeffrey Price,,鲍勃·霍斯金斯,,克里斯托弗·洛伊德,,乔安娜·卡西迪,"['喜剧', '动画', '冒险']",104 分钟,1988,美国, 英语,7.6
拜见罗宾逊一家 Meet the Robinsons,,Stephen J. Anderson,,Jon Bernstein,,安吉拉·贝塞特,,Daniel Hansen,,乔丹·弗雷,"['喜剧', '动画', '冒险']",95 分钟,2007,美国, 英语,7.6
亚瑟·圣诞 Arthur Christmas,,莎拉·史密斯,,彼得·贝恩汉姆,,詹姆斯·麦卡沃伊,,休·劳瑞,,比尔·奈伊,"['剧情', '喜剧', '动画']",97分钟,2011,英国 / 美国, 英语,7.6
钟楼怪人 The Hunchback of Notre Dame,,加里·特洛斯达勒,,泰布·墨菲,,汤姆·休斯克,,黛米·摩尔,,托尼·杰,"['剧情', '爱情', '动画', '歌舞', '家庭']",91分钟,1996,美国, 英语,7.6
小百无禁忌,,章蕙兰,,章蕙兰,,舒淇,,萧淑慎,,金燕玲,"['剧情', '爱情', '动画', '惊悚', '犯罪']",96分钟,2000,台湾, 汉语普通话,7.4
西岳奇童,,胡兆洪,,胡兆洪,,李铭祖,,王肖兵,,刘欣,"['剧情', '动画', '奇幻']",90分钟,2006,中国大陆, 汉语普通话,7.4
泰山与珍妮 Tarzan & Jane,,Victor Cook,,Rene Auberjonois,,Rene Auberjonois,,Jeff Bennett,,Jim Cummings,"['动画', '家庭']",75分钟,2002,美国, 英语,7.4
闪电狗 Bolt,,拜伦·霍华德,,丹·福格尔曼,,约翰·特拉沃尔塔,,麦莉·赛勒斯,,苏茜·伊斯曼,"['喜剧', '动画', '家庭', '冒险']",96 分钟,2008,美国, 英语,7.3
十万个冷笑话2,,卢恒宇,,卢恒宇,,山新,,郝祥海,,李姝洁,"['喜剧', '动画', '奇幻']",101分钟,2017,中国大陆, 汉语普通话,7.3
疯狂外星人 Home,,蒂姆·约翰逊,,汤姆·J·阿瑟尔,,吉姆·帕森斯,,蕾哈娜,,史蒂夫·马丁,"['喜剧', '科幻', '动画', '冒险']",94分钟,2015,美国, 英语,7.3
怪物史瑞克3 Shrek the Third,,克里斯·米勒,,杰弗里·普赖斯,,麦克·梅尔斯,,艾迪·墨菲,,卡梅隆·迪亚兹,"['喜剧', '动画', '家庭', '奇幻', '冒险']",93 分钟,2007,美国, 英语,7.3
追逐繁星的孩子 星を追う子ども,,新海诚,,新海诚,,金元寿子,,入野自由,,井上和彦,"['动画', '奇幻', '冒险']",116分钟,2011,日本, 日语,7.3
通灵男孩诺曼 ParaNorman,,克里斯·巴特勒,,克里斯·巴特勒,,柯蒂·斯密特-麦菲,,安娜·肯德里克,,莱斯利·曼恩,"['动画', '奇幻', '冒险']",93分钟,2012,美国, 英语,7.3
公主与青蛙 The Princess and the Frog,,罗恩·克莱蒙兹,,罗恩·克莱蒙兹,,阿尼卡·诺尼·罗斯,,布鲁诺·坎波斯,,凯斯·大卫,"['喜剧', '爱情', '动画', '歌舞']",97分钟,2009,美国, 英语,7.3
海绵宝宝 The SpongeBob Movie: Sponge Out of Water,,保罗·提比特,,格伦·伯杰,,安东尼奥·班德拉斯,,艾瑞克·鲍扎,,蒂姆·康威,"['喜剧', '动画', '冒险']",93分钟,2015,美国, 英语,7.3
森林战士 Epic,,克里斯·韦奇,,詹姆士·V·哈特,,阿曼达·塞弗里德,,乔什·哈切森,,碧昂丝·诺尔斯,"['动画', '奇幻', '冒险']",102分钟,2013,美国, 英语,7.3
圣诞颂歌 A Christmas Carol,,罗伯特·泽米吉斯,,罗伯特·泽米吉斯,,金·凯瑞,,加里·奥德曼,,罗宾·怀特,"['剧情', '动画', '家庭', '奇幻']",98 分钟,2009,美国, 英语,7.3
自杀小队：严厉惩罚 Suicide Squad: Hell to Pay,,刘山姆,,艾伦·伯内特,,克里斯蒂安·史莱特,,凡妮莎·威廉斯,,比利·布朗,"['动作', '动画']",86分钟,2018,美国, 英语,7.3
仲夏夜魔法 Strange Magic,,嘉里·瑞德斯托姆,,大卫·贝伦鲍姆,,克里斯汀·肯诺恩斯,,埃文·蕾切尔·伍德,,彼得·斯特曼,"['动画', '歌舞', '家庭', '奇幻']",99分钟,2015,美国, 英语,7.3
千年狐 여우비,,李成康,,李成康,,孙艺珍,,孔炯真,,柳德焕,"['剧情', '动画', '奇幻']",85分钟,2007,韩国, 韩语,7.3
我想吃掉你的胰脏 君の膵臓をたべたい,,牛岛新一郎,,牛岛新一郎,,高杉真宙,,Lynn,,藤井雪代,"['爱情', '动画']",108分钟,2018,日本, 日语,6.9
朝花夕誓 さよならの朝に約束の花をかざろう,,冈田麿里,,冈田麿里,,石见舞菜香,,入野自由,,樱井优辉,"['动画', '奇幻']",115分钟,2018,日本, 日语,6.9
大战外星人 Monsters vs. Aliens,,罗伯·莱特曼,,玛雅·福布斯,,瑞茜·威瑟斯彭,,塞斯·罗根,,休·劳瑞,"['喜剧', '动作', '科幻', '动画', '家庭', '冒险']",94 分钟,2009,美国, 英语,6.9
鼠来宝：明星俱乐部 Alvin and the Chipmunks: The Squeakquel,,贝蒂·托马斯,,Jon Vitti,,贾斯汀·朗,,安娜·法瑞丝,,马修·格雷·古柏勒,"['喜剧', '动画', '音乐', '家庭', '奇幻']",88分钟,2009,美国, 英语,6.9
最终幻想：灵魂深处 Final Fantasy: The Spirits Within,,坂口博信,,坂口博信,,温明娜,,亚历克·鲍德温,,文·瑞姆斯,"['动作', '科幻', '动画', '惊悚', '奇幻', '冒险']",106 分钟,2001,美国 / 日本, 英语,6.9
吉诺密欧与朱丽叶 Gnomeo & Juliet,,凯利·阿斯博瑞,,安迪·赖利,,詹姆斯·麦卡沃伊,,艾米莉·布朗特,,阿什利·詹森,"['喜剧', '动画', '家庭']",84分钟,2011,英国 / 美国, 英语,6.9
神奇海盗团 The Pirates! In an Adventure with Scientists!,,彼得·洛伊德,,吉德安·狄福,,休·格兰特,,萨尔玛·海耶克,,大卫·田纳特,"['喜剧', '动画', '家庭', '冒险']",88分钟,2012,英国 / 美国, 英语,6.9
