,导演,编剧,主演一,主演二,主演三,类型,时长,地区,分数
134.0,7.130769230769231,7.506250000000001,6.566666666666666,6.909090909090909,7.35,7.33,6.844239999999999,7.0663419191245,6.4
135.0,6.916666666666668,7.139999999999999,6.777777777777778,7.283333333333334,6.772753623188407,7.33,6.844239999999999,6.750420168067232,6.4
136.0,7.043750000000001,6.433333333333334,6.717647058823529,6.866666666666667,6.566666666666666,7.33,6.844239999999999,7.252004860267325,6.4
137.0,6.4,6.4,6.033333333333334,7.658333333333332,6.4,6.91,6.844239999999999,7.252004860267325,6.4
138.0,5.92,6.4,7.130769230769232,6.4,6.92,6.82,6.844239999999999,6.750420168067232,6.4
139.0,6.9,6.4,6.466666666666668,7.1750000000000025,6.4,6.82,6.844239999999999,7.0663419191245,6.4
140.0,5.9750000000000005,6.4,5.473333333333333,6.9499999999999975,6.65,7.33,6.844239999999999,5.8443960826985695,6.4
141.0,6.36,5.380000000000001,4.95,6.3500000000000005,6.583333333333335,6.82,6.844239999999999,7.252004860267325,6.4
142.0,6.666666666666668,6.4,6.4,6.4,7.45,6.82,6.844239999999999,7.0663419191245,6.4
143.0,6.4,6.4,6.4,6.4,6.772753623188407,6.82,6.844239999999999,7.0663419191245,6.4
144.0,6.542857142857143,6.42,6.7666666666666675,5.95,6.4,6.82,6.6630600000000015,7.0663419191245,6.4
145.0,6.475,6.4,6.578947368421053,7.383333333333333,6.639999999999999,7.33,6.844239999999999,7.0663419191245,6.4
146.0,6.1571428571428575,6.578124999999999,6.7235294117647015,6.306250000000001,6.009999999999999,6.82,6.844239999999999,6.5677324358434745,6.0
147.0,6.960869565217393,6.578124999999999,6.060869565217391,6.204545454545454,6.1769230769230745,6.82,6.844239999999999,5.8443960826985695,6.0
148.0,6.188888888888887,6.0,5.7666666666666675,6.5200000000000005,5.76,7.33,6.844239999999999,6.5677324358434745,6.0
149.0,6.595652173913045,6.0,6.0,7.399999999999999,6.375,6.6,6.844239999999999,6.896243291592125,6.0
150.0,5.88,5.88,5.966666666666666,5.44,6.153333333333332,7.33,6.844239999999999,6.752777777777789,6.0
151.0,7.566666666666666,6.0,6.060869565217391,6.812765957446808,5.65,7.33,6.844239999999999,5.8443960826985695,6.0
152.0,7.129999999999997,6.3,6.65,6.0,6.0,6.6,7.404689999999999,7.0663419191245,6.0
153.0,6.1111111111111125,6.590476190476191,6.082758620689654,6.091666666666668,5.255555555555556,7.33,6.844239999999999,6.5677324358434745,6.0
154.0,5.825,6.0,5.884615384615388,5.9,6.0,6.82,6.844239999999999,6.752777777777789,6.0
155.0,6.0,6.0,6.828571428571428,7.25,6.0,6.82,6.6630600000000015,7.0663419191245,6.0
156.0,6.0,6.0,5.816666666666666,6.8,6.4,7.33,7.404689999999999,6.750420168067232,6.0
157.0,6.610000000000001,6.0,7.066666666666666,6.775000000000001,6.366666666666667,6.82,6.844239999999999,7.0663419191245,6.0
158.0,6.0,6.133333333333333,6.9339285714285674,6.0,6.0,7.33,6.844239999999999,7.0663419191245,6.0
159.0,6.0,6.0,6.88,6.0,5.033333333333333,7.33,6.844239999999999,5.8443960826985695,6.0
160.0,6.485714285714287,6.0,6.0,6.0,6.772753623188407,7.33,6.844239999999999,7.293932708218413,6.0
161.0,5.9,6.0,6.0,6.0,6.0,7.33,6.844239999999999,7.252004860267325,6.0
162.0,6.133333333333334,6.0,6.9,6.44,5.844444444444445,6.82,6.844239999999999,7.261666666666662,6.0
163.0,6.0,6.0,6.4833333333333325,6.92,6.718181818181819,6.82,6.844239999999999,6.750420168067232,6.0
164.0,5.933333333333334,5.933333333333334,6.133333333333333,5.3,5.3,6.91,6.844239999999999,7.252004860267325,5.3
